organisation_slug,top_level_name_fr,top_level_name_it,top_level_name_de,top_level_name_en
basisdaten-biel-bienne,Biel/Bienne,Biel/Bienne,Biel/Bienne,Biel/Bienne
leben-in-biel,Biel/Bienne,Biel/Bienne,Biel/Bienne,Biel/Bienne
infrastruktur-mobilitaet-biel-bienne,Biel/Bienne,Biel/Bienne,Biel/Bienne,Biel/Bienne
planung-umwelt-biel-bienne,Biel/Bienne,Biel/Bienne,Biel/Bienne,Biel/Bienne
lausanne,Lausanne,Lausanne,Lausanne,Lausanne
kanton-schwyz,SZ,SZ,SZ,SZ
bundesamt-fur-lebensmittelsicherheit-und-veterinaerwesen-blv,DFI (sans OFS),DFI (senza UST),EDI (ohne BFS),FDHA (without FSO)
geoinformation_kanton_luzern,LU,LU,LU,LU
geoinformation-kanton-uri,UR,UR,UR,UR
kanton-uri,UR,UR,UR,UR
amt-geoinformation-sz,SZ,SZ,SZ,SZ
kanton_solothurn,SO,SO,SO,SO
afm-kanton-zuerich,ZH,ZH,ZH,ZH
canton-du-jura,JU,JU,JU,JU
kantonspolizei-kanton-zuerich,ZH,ZH,ZH,ZH
kanton-basel-landschaft,BL,BL,BL,BL
agroscope,DEFR,DEFR,WBF,FDEA
awel-kanton-zuerich,ZH,ZH,ZH,ZH
amt-fuer-geoinformation-des-kantons-bern,BE,BE,BE,BE
amt-geoinformation-kanton-schaffhausen,SH,SH,SH,SH
are-kanton-zuerich,ZH,ZH,ZH,ZH
amt-fuer-raumentwicklung-und-geoinformation-areg-kanton-st-gallen,SG,SG,SG,SG
bernmobil,bernmobil,bernmobil,bernmobil,bernmobil
bibliothek-am-guisanplatz-big,DDPS,DDPS,VBS,DDPS
bildungsstatistik-kanton-zuerich,ZH,ZH,ZH,ZH
bundesamt-fur-bevolkerungsschutz-babs,DDPS,DDPS,VBS,DDPS
bundesamt-fur-energie-bfe,DETEC,DATEC,UVEK,DETEC
bundesamt-fur-gesundheit-bag,DFI (sans OFS),DFI (senza UST),EDI (ohne BFS),FDHA (without FSO)
bundesamt_fuer_justiz,DFJP,DFGP,EJPD,FDJP
bundesamt-fur-kommunikation-bakom,DETEC,DATEC,UVEK,DETEC
bundesamt-fur-kultur-bak,DFI (sans OFS),DFI (senza UST),EDI (ohne BFS),FDHA (without FSO)
bundesamt-fur-landestopografie-swisstopo,DDPS,DDPS,VBS,DDPS
bundesamt-fur-landwirtschaft-blw,DEFR,DEFR,WBF,FDEA
bundesamt-fur-meteorologie-und-klimatologie-meteoschweiz,DFI (sans OFS),DFI (senza UST),EDI (ohne BFS),FDHA (without FSO)
bundesamt-fur-raumentwicklung-are,DETEC,DATEC,UVEK,DETEC
bundesamt-fur-statistik-bfs,OFS (DFI),UST (DFI),BFS(EDI),FSO (FDHA)
bundesamt-fur-strassen-astra,DETEC,DATEC,UVEK,DETEC
bundesamt-fur-umwelt-bafu,DETEC,DATEC,UVEK,DETEC
bundesamt-fur-verkehr-bav,DETEC,DATEC,UVEK,DETEC
bundesamt-fur-zivilluftfahrt-bazl,DETEC,DATEC,UVEK,DETEC
eidgenoessische_zollverwaltung_ezv,DFF,DFF,EFD,FDF
dienst-ueberwachung-post-und-fernmeldeverkehr-uepf,DFJP,DFGP,EJPD,FDJP
dienstzweig-geomatik-gemeinde-koeniz,Koeniz,Koeniz,Koeniz,Koeniz
swisspost,La Poste,La Posta,Die Post,Swiss Post
direktion-fur-entwicklung-und-zusammenarbeit-deza,DFAE,DFAE,EDA,FDFA
eidgenossische-finanzverwaltung-efv,DFF,DFF,EFD,FDF
wsl,WSL - Institut federal de recherches sur la foret. la neige et le paysage,WSL - Instituto federale di ricerca per la foresta. la neve e il paesaggio,WSL - eidg. Forschungsanstalt fuer Wald. Schnee und Landschaft,WSL - Swiss Federal Institute for Forest. Snow and Landscape Research
eidgenoessisches_amt_fuer_das_handelsregister_ehra,DFJP,DFGP,EJPD,FDJP
envidat,envidat,envidat,envidat,envidat
eth-bibliothek,ETH Zurich,ETH Zurich,ETH Zurich,ETH Zurich
fachstelle-fur-statistik-kanton-st-gallen,SH,SH,SH,SH
fachstelle-geoinformation-des-kantons-glarus,GL,GL,GL,GL
fachstelle-ogd-kanton-zuerich,ZH,ZH,ZH,ZH
efv_finanzstatistik,DFF,DFF,EFD,FDF
finanzverwaltung-der-stadt-bern,Berne,Berna,Bern,Berne
finanzverwaltung-kanton-zuerich,ZH,ZH,ZH,ZH
gemeindeamt-kanton-zuerich,ZH,ZH,ZH,ZH
gemeinde_emmen,Emmen,Emmen,Emmen,Emmen
gemeinde_koeniz,Koeniz,Koeniz,Koeniz,Koeniz
geoimpact,Geoimpact,Geoimpact,Geoimpact,Geoimpact
geoinformation_kanton_freiburg,FR,FR,FR,FR
geoinformation-kanton-zuerich,ZH,ZH,ZH,ZH
geoinformation-der-stadt-bern,Berne,Berna,Bern,Berne
geschaeftsfeld-gesellschaft-stadt-uster,Uster,Uster,Uster,Uster
oevch,CFF,FFS,SBB,SBB
gesundheitsdirektion-kanton-zuerich,ZH,ZH,ZH,ZH
gis-kanton-zug,ZG,ZG,ZG,ZG
gruppe-verteidigung,DDPS,DDPS,VBS,DDPS
handelsregisteramt-kanton-zuerich,ZH,ZH,ZH,ZH
identitas,Identitas,Identitas,Identitas,Identitas
immobilien-stadt-bern,Berne,Berna,Bern,Berne
administration-cantonale-geneve,GE,GE,GE,GE
kanton-basel-stadt,BS,BS,BS,BS
kanton-bern-2,BE,BE,BE,BE
kanton_freiburg,FR,FR,FR,FR
canton-geneve,GE,GE,GE,GE
kanton-glarus,GL,GL,GL,GL
kanton-graubuenden,GR,GR,GR,GR
kanton_luzern,LU,LU,LU,LU
kanton-schaffhausen,SH,SH,SH,SH
kanton-st-gallen,SG,SG,SG,SG
kanton-thurgau,TG,TG,TG,TG
kanton-wallis,VS,VS,VS,VS
kanton-zuerich,ZH,ZH,ZH,ZH
kanton-zug,ZG,ZG,ZG,ZG
kof-konjunkturforschungsstelle,ETH Zurich,ETH Zurich,ETH Zurich,ETH Zurich
lustat,LU,LU,LU,LU
oberjugendanwaltschaft-kanton-zuerich,ZH,ZH,ZH,ZH
openglam,openglam,openglam,openglam,openglam
ostschweiz_tourismus,Ostschweiz Tourismus,Ostschweiz Tourismus,Ostschweiz Tourismus,Ostschweiz Tourismus
parlamentsdienste-pd,Services du Parlement,Servici del Parlamento,Parlamentsdienst,Parliamentary Services
participatory-image-archives,PIA - Participatory Image Archives,PIA - Participatory Image Archives,PIA - Participatory Image Archives,PIA - Participatory Image Archives
